date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:47	341053/341053	---M-Z	200	added ('OK')	text/html	etag:%2256ffd5834eb060cbfd40d81e64c8819b%22	https://aurashop.framer.website/sort-by/Advisable	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/sort-by/Advisable.html	(from https://aurashop.framer.website/)
22:11:48	942659/942659	---M-Z	200	added ('OK')	text/html	etag:%2235ecb0454270dfb60d84830adacb4596%22	https://aurashop.framer.website/vintage-vibes	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/vintage-vibes.html	(from https://aurashop.framer.website/)
22:11:49	263375/263375	---M-Z	200	added ('OK')	text/html	etag:%224f22a8c6e1592834709ad8aba0a7d9d2%22	https://aurashop.framer.website/blog	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/blog.html	(from https://aurashop.framer.website/)
22:11:49	274446/274446	---M-Z	200	added ('OK')	text/html	etag:%22c18d2e339b84e4df27694bd439acfed1%22	https://aurashop.framer.website/faq	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/faq.html	(from https://aurashop.framer.website/)
22:11:55	217671/217671	---M-Z	200	added ('OK')	text/html	etag:%229a66f16015a96063a5abcd8a687c27b0%22	https://aurashop.framer.website/terms-and-conditions	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/terms-and-conditions.html	(from https://aurashop.framer.website/)
22:11:56	210483/210483	---M-Z	404	error ('Not%20Found')	text/html	etag:%22894eb36f1d83dd41eddac5108e0722a4%22	https://aurashop.framer.website/404	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/404.44.delayed	(from https://aurashop.framer.website/)
22:11:57	217618/217618	---M-Z	200	added ('OK')	text/html	etag:%226696a21c81c1d301019424e00c65dead%22	https://aurashop.framer.website/privacy-policy	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/privacy-policy.html	(from https://aurashop.framer.website/)
22:11:58	43538/43538	---MC-	200	added ('OK')	image/png	etag:%226bbc125933b34af3f4a2b57519e1b248%22	https://framerusercontent.com/images/Nw90SIdLQKIdHiNqfLWxw5MZGs.png	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/Nw90SIdLQKIdHiNqfLWxw5MZGs.png	(from https://aurashop.framer.website/)
22:11:59	21828/21828	---MC-	200	added ('OK')	image/png	etag:%222a469b14e79864c6f48d56df930b2a89%22	https://framerusercontent.com/images/QUXCWKuepJu9WOicM1GGa9eFw.png	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/QUXCWKuepJu9WOicM1GGa9eFw.png	(from https://aurashop.framer.website/)
22:12:00	8587/8587	---MC-	200	added ('OK')	image/png	etag:%225aa1d853cd52eae149a92f1964707aae%22	https://framerusercontent.com/images/mFN7qRFb6aBfqn8RZtBNQ5G678.png	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/mFN7qRFb6aBfqn8RZtBNQ5G678.png	(from https://aurashop.framer.website/)
22:12:00	7496/7496	---MC-	200	added ('OK')	image/png	etag:%22e79efa94da4a0826b6f94375f61f180d%22	https://framerusercontent.com/images/wF1FvkGQKavYUtCR8N43p7LHvpk.png	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/wF1FvkGQKavYUtCR8N43p7LHvpk.png	(from https://aurashop.framer.website/)
22:12:01	4852/4852	---MC-	200	added ('OK')	image/png	etag:%2272ab2178bf87f12d87cec62341e10b3e%22	https://framerusercontent.com/images/mP89rOLcHZd2NwwX4EJUih9HnfE.png	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/mP89rOLcHZd2NwwX4EJUih9HnfE.png	(from https://aurashop.framer.website/)
22:12:01	16/16	---M--	400	error ('Bad%20Request')	application/json	date:Wed,%2011%20Feb%202026%2017:42:03%20GMT	https://framerusercontent.com/images/H2lD1wbQgNQJOFWzv6bKAY6ng.png?scale-down-to=512&width=1024&height=1024%20512w,https://framerusercontent.com/images/H2lD1wbQgNQJOFWzv6bKAY6ng.png?width=1024&height=1024%201024w	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/H2lD1wbQgNQJOFWzv6bKAY6ng9806.png	(from https://aurashop.framer.website/)
22:12:01	16/16	---M--	400	error ('Bad%20Request')	application/json	date:Wed,%2011%20Feb%202026%2017:42:03%20GMT	https://framerusercontent.com/images/hKi14x2EJdOqlY7tV0rWl5pho.png?scale-down-to=512&width=1024&height=1024%20512w,https://framerusercontent.com/images/hKi14x2EJdOqlY7tV0rWl5pho.png?width=1024&height=1024%201024w	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/hKi14x2EJdOqlY7tV0rWl5pho11af.png	(from https://aurashop.framer.website/)
22:12:02	16/16	---M--	400	error ('Bad%20Request')	application/json	date:Wed,%2011%20Feb%202026%2017:42:03%20GMT	https://framerusercontent.com/images/7pPtmQnOe0HtA5CzJM3vyqOgv8.png?scale-down-to=512&width=1024&height=1024%20512w,https://framerusercontent.com/images/7pPtmQnOe0HtA5CzJM3vyqOgv8.png?width=1024&height=1024%201024w	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/7pPtmQnOe0HtA5CzJM3vyqOgv8a630.png	(from https://aurashop.framer.website/)
22:12:02	16/16	---M--	400	error ('Bad%20Request')	application/json	date:Wed,%2011%20Feb%202026%2017:42:04%20GMT	https://framerusercontent.com/images/tm2naYCJCl1CpS0YJJXGqbkflU.png?scale-down-to=512&width=1024&height=1024%20512w,https://framerusercontent.com/images/tm2naYCJCl1CpS0YJJXGqbkflU.png?width=1024&height=1024%201024w	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/tm2naYCJCl1CpS0YJJXGqbkflUf274.png	(from https://aurashop.framer.website/)
22:12:02	16/16	---M--	400	error ('Bad%20Request')	application/json	date:Wed,%2011%20Feb%202026%2017:42:04%20GMT	https://framerusercontent.com/images/JFVPvnkBFfpqh3p50qaSe4Or3YA.png?scale-down-to=512&width=1024&height=1024%20512w,https://framerusercontent.com/images/JFVPvnkBFfpqh3p50qaSe4Or3YA.png?width=1024&height=1024%201024w	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/JFVPvnkBFfpqh3p50qaSe4Or3YA2a5b.png	(from https://aurashop.framer.website/)
